"","CollectionSite","DataUpload?(Initial)","ProcessedBy","DatePlanted","PlanterType","CollectionDate","Species","TagID","Condition","Mass(g)","Width(mm)","totallength(cm)","plumulelength(cm)","hypocotyllength(cm)","HypocotylColor","Roots(Y/N)","Float(Y/N)","NOTES","PartofSomething(C=CommunityEvent,N=nothing,E=experiment,MIC=mangrovesintheclassroomorstormstrongplant)","PlantName","CollectionDateParsed","CollectionYear","CollectionMonth","CollectionDay","Island","Lat","Long"
"20","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3466","H",16,"10.4","23.8","0","23.8","G","Y","Y","PLUM DEAD","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"21","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3468","H",19.78,"10.7","24.7","0.1","24.6","G","Y","Y",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"22","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3509","H",16.77,"11.2","22.1","0","22.1","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"23","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3489","H",15.86,"9.5","28.6","1.2","27.4","G","N","N","GREAT PROP!!!","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"24","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3487","H",13.96,"9.9","26.7","1.4","25.3","GB","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"25","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4312","H",18.43,"11.9","23.9","1.1","22.8","B","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"26","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3488","H",11.39,"9.8","22.3","1.2","21.1","G","Y","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"27","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3505","H",13.6,"9.5","22.5","0","22.5","G","N","N","PLUM DEAD","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"28","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3494","H",5.47,"6.8","16.8","0.3","16.5","G","N","N","PLUM BLACK","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"29","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3495","H",19.81,"10.7","30.1","1.4","28.7","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"30","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4303","H",27.9,"11.5","37.1","1.8","35.3","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"31","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3508","H",16.41,"10.7","23.4","0","23.4","B","N","N","PLUM BROKEN","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"32","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3482","H",21.84,"10.9","29.2","0.1","29.1","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"33","Altona Lagoon","DIRECT UPLOAD","KH, DG","7/21/2023","3"" TP","07/12/2023","RHMA","4345","H",16.71,"12.6","21.5","1.3","20.2","G","Y","Y",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"34","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3467","H",16.59,"10.4","25","0.1","24.9","G","Y","Y",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"35","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4298","H",24.51,"12.4","32.4","1.2","31.2","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"36","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4299","H",13,"10.2","21.5","1.4","20.1","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"37","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3490","H",10.08,"8.8","21.7","1.4","20.3","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"38","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3486","H",15,"10.2","25.6","1.4","24.2","G","Y","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"39","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4302","H",13.55,"9.6","26.1","1.1","25","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"40","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3463","H",26.53,"11.7","33.2","0.7","32.5","G","Y","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"41","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3464","H",19.79,"11.5","23","0","23","G","Y","Y","PLUM BROKEN OFF, LIITTLE HERB","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"42","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3479","H",15.54,"9","24.3","0","24.3","G","Y","N","PLUM BROKEN","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"43","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3480","H",15.33,"10.2","24.2","1","23.2","G","Y","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"44","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3507","H",10.85,"10","17.1","0","17.1","G","N","Y","PLUM BROKEN","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"45","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3497","H",9.48,"9.2","16.4","1","15.4","G","N","Y",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"46","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3485","H",23.68,"12.4","27.2","0.7","26.5","G","Y","N","1 LEAF DEVELOPED","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"47","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3484","H",14.19,"9.5","25.2","0.7","24.5","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"48","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4297","H",6.63,"9.2","17.4","1","16.4","G","Y","Y",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"49","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3458","H",19.84,"11.4","25.9","1.4","24.5","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"50","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3474","H",23.84,"10.7","31","1.5","29.5","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"51","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3491","H",14.2,"10.9","21.7","0.8","20.9","G","N","N","PLUM BLACK","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"52","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3476","H",6.66,"8.7","17.1","1","16.1","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"53","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3477","H",13.09,"9.3","21.6","0","21.6","G","Y","N","PLUM DEAD","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"54","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3478","H",30.25,"12.5","33.9","0.7","33.2","GB","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"55","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3493","H",5.47,"7","17.6","0.2","17.4","G","N","N","PLUM BLACK","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"56","Altona Lagoon","KH, DG","KH, DG","7/27/2023","3"" TP","07/12/2023","RHMA","4353","H",17.87,"12","28.1","1.6","26.5","GB","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"57","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3481","H",20.88,"12.7","22.2","1.6","20.6","G","Y","N","CURVED","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"58","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3499","P",16.88,"10.3","25.4","1.2","24.2","G","Y","N","HERB","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"59","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3483","H",23.43,"12.5","25.6","0.5","25.1","G","N","N","HERB","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"60","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4300","H",17.78,"10.7","30.6","1.3","29.3","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"61","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4301","H",13.11,"10.3","23.5","1.5","22","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"62","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3462","H",21.08,"10.3","29.2","0.5","28.7","G","Y","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"63","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3500","H",13.81,"10.5","24","0.1","23.9","G","N","Y",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"64","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3504","H",8.53,"8.8","17.8","1.3","16.5","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"65","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3459","H",18.53,"12","23.7","1.3","22.4","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"66","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3496","P",24.22,"12.3","26.1","0","26.1","G","N","N","HERB, PLUM DEAD","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"67","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3492","H",12,"9.9","19.3","0","19.3","G","Y","N","PLUM BROKEN","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"68","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3457","H",18.28,"10.3","30.4","1.8","28.6","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"69","Altona Lagoon","KH, DG","KH, DG","7/27/2023","3"" TP","07/12/2023","RHMA","4352","H",23.95,"13.3","27.7","1","26.7","GB","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"70","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3475","H",27.6,"10","34.3","0.6","33.7","G","Y","N","PLUM BLACK","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"71","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3498","H",12.32,"9.9","22.1","1.4","20.7","GB","Y","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"72","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3503","H",25.48,"12","25.8","0.8","25","G","N","N","CURVED","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"73","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3456","H",11.25,"9.1","23.1","1.4","21.7","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"74","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3502","H",16.2,"10.5","26.7","1.4","25.3","GB","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"75","Altona Lagoon","KH, DG","KH, DG","7/27/2023","3"" TP","07/12/2023","RHMA","4350","H",11.58,"11","23.3","1.1","22.2","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"76","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3461","H",24.48,"12","27.1","0.9","26.2","G","Y","N","2 NEW LEAVES","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"77","Altona Lagoon","KH, DG","KH, DG","7/27/2023","3"" TP","07/12/2023","RHMA","4351","H",11.3,"11","17.7","1.2","16.5","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"78","Altona Lagoon","KH, DG","KH, DG","7/27/2023","3"" TP","07/12/2023","RHMA","4354","H",6.45,"9.2","14.7","0.8","13.9","G","N","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"79","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3460","H",15.57,"8.7","26","1.5","24.5","G","N","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"80","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3501","H",10,"9.7","20.2","0.3","19.9","G","Y","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"81","Annaberg Bay","DG","DG","5/19/2023","CC",NA,"RHMA","3761B","H",7.22,NA,NA,NA,"16",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","BELLE",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"82","Annaberg Bay","AJH","LU, KH, LP","4/21/2023","CC",NA,"RHMA","3744B","H",13.48,NA,NA,NA,NA,NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C",NA,NA,NA,NA,NA,"St. John",18.363707,-64.731214
"83","Annaberg Bay","AJH","LU, KH, LP","4/21/2023","CC",NA,"RHMA","3750B","H",12.49,NA,NA,NA,NA,NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C",NA,NA,NA,NA,NA,"St. John",18.363707,-64.731214
"84","Annaberg Bay","DG","DG","5/20/2023","CC",NA,"RHMA","3763B","H",11.01,NA,NA,NA,"20.5",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","NOOR",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"85","Annaberg Bay","AJH","LU, KH, LP","4/21/2023","CC",NA,"RHMA","3742B","H",13.33,NA,NA,NA,NA,NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C",NA,NA,NA,NA,NA,"St. John",18.363707,-64.731214
"86","Annaberg Bay","DG","DG","5/17/2023","CC",NA,"RHMA","3757B","H",10.42,NA,NA,NA,"23.3",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","MANGROVE",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"87","Annaberg Bay","DG","DG","5/18/2023","CC",NA,"RHMA","3759B","H",9.66,NA,NA,NA,"20.5",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","BELLA",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"88","Annaberg Bay","AJH","LU, KH, LP","4/21/2023","CC",NA,"RHMA","3748B","H",7.69,NA,NA,NA,NA,NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C",NA,NA,NA,NA,NA,"St. John",18.363707,-64.731214
"89","Annaberg Bay","DG","DG","5/21/2023","CC",NA,"RHMA","3765B","H",9,NA,NA,NA,"25",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","CHICKEN NUGGETS",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"90","Annaberg Bay","DG","DG","5/22/2023","CC",NA,"RHMA","3767B","H",10.91,NA,NA,NA,"24.2",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","FELICIA",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"91","Annaberg Bay","DG","DG","5/16/2023","CC",NA,"RHMA","3755B","H",11.05,NA,NA,NA,"21",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","ELLA",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"92","Annaberg Bay","AND","JC","28/02/2023","CC","21/02/2023","RHMA","E2-77","H",12.45,"9.5","27","1.5","25.5","G","N",NA,NA,"MIC","Clapazz",2023-02-21,"2023","02","21","St. John",18.363707,-64.731214
"93","Annaberg Bay","AND",NA,"28/02/2023","CC","21/02/2023","RHMA","E2-64","H",11.06,"8.2","25","0","25","G","N",NA,NA,"MIC","EEZY P",2023-02-21,"2023","02","21","St. John",18.363707,-64.731214
"94","Annaberg Bay","AND",NA,"28/02/2023","CC","21/02/2023","RHMA","E2-67","H",26.48,"14.6","24","2.5","21.5","G","Y",NA,NA,"MIC","Yggdrasil",2023-02-21,"2023","02","21","St. John",18.363707,-64.731214
"95","Annaberg Bay","AJH","LU, KH, LP","4/21/2023","CC",NA,"RHMA","3746B","H",15.22,NA,NA,NA,NA,NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C",NA,NA,NA,NA,NA,"St. John",18.363707,-64.731214
"96","Annaberg Bay","AND","JD","28/02/2023","CC","21/02/2023","RHMA","E2-68","H",11.42,"11.1","27","2","25","G","N",NA,NA,"MIC","Morty",2023-02-21,"2023","02","21","St. John",18.363707,-64.731214
"97","Annaberg Bay","AND","KH","28/02/2023","CC","21/02/2023","RHMA","E2-40","H",25.3,"11.5","36","1","35","G","N",NA,NA,"MIC","Terry Flenory",2023-02-21,"2023","02","21","St. John",18.363707,-64.731214
"98","Annaberg Bay","AND",NA,"28/02/2023","CC","21/02/2023","RHMA","E2-65","H",8.27,"6","20","0","20","G","N",NA,NA,"MIC","Jalepeno",2023-02-21,"2023","02","21","St. John",18.363707,-64.731214
"99","Annaberg Bay","AND",NA,"28/02/2023","CC","21/02/2023","RHMA","E2-66","H",15.72,"9.7","24","0.5","23.5","B","Y",NA,NA,"MIC","Mighty Boots",2023-02-21,"2023","02","21","St. John",18.363707,-64.731214
"100","Annaberg Bay","DG","DG","5/24/2023","CC",NA,"RHMA","3771B","H",5.62,NA,NA,NA,"14.7","G",NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","TOBINYA",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"101","Annaberg Bay","AND",NA,"28/02/2023","CC","21/02/2023","RHMA","E2-72","H",8.22,"7.7","13.6","1.6","12","B","Y",NA,NA,"MIC","Mandy",2023-02-21,"2023","02","21","St. John",18.363707,-64.731214
"102","Annaberg Bay","AND","JD","28/02/2023","CC","21/02/2023","RHMA","E2-69","H",11.69,"8.2","21","2","19","G","Y",NA,NA,"MIC","Rick",2023-02-21,"2023","02","21","St. John",18.363707,-64.731214
"103","Annaberg Bay","DG","DG","5/23/2023","CC",NA,"RHMA","3769B","H",7.05,NA,NA,NA,"16.2",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","JIMMY",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"104","Annaberg Bay","DG","DG","5/15/2023","CC",NA,"RHMA","3753B","H",11.03,NA,NA,NA,"21",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","NATURE",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"105","Annaberg Bay","DG","DG","5/14/2023","CC",NA,"RHMA","3751B","H",15.37,NA,NA,NA,"24",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","RAINBOW TOWN",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"106","Annaberg Bay","DG","DG","4/21/2023","CC",NA,"RHMA","3689","H",23.61,NA,NA,NA,"23.8",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","DAISY",NA,NA,NA,NA,"St. John",18.363707,-64.731214
"107","Annaberg Bay","DG","DG","4/21/2023","CC",NA,"RHMA","3701","H",11.4,NA,NA,NA,"22.8",NA,NA,NA,"EARTH DAY COMMUNITY OUTREACH STJ","C","SMELTY",NA,NA,NA,NA,"St. John",18.363707,-64.731214
